dataset,service,fault_type,case_id,n_nodes,n_edges,edge_density,elapsed_sec,top1_node,top3_nodes,ground_truth_service,ground_truth_metric,Top-1 Acc,Top-3 Acc,Top-5 Acc,Svc-AC@1,Svc-AC@3,Svc-AC@5,Mtr-AC@1,Mtr-AC@3,Mtr-AC@5,Svc_Rank,Mtr_Rank
RE1-OB,adservice,cpu,1,46,1860,0.8986,44.66,emailservice_latency,emailservice_latency|checkoutservice_cpu|frontend_cpu,adservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18
RE1-OB,adservice,cpu,2,46,1875,0.9058,32.21,currencyservice_cpu,currencyservice_cpu|frontend_cpu|paymentservice_cpu,adservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12
RE1-OB,adservice,cpu,3,46,1895,0.9155,42.73,emailservice_latency,emailservice_latency|adservice_cpu|currencyservice_cpu,adservice,cpu,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,2
RE1-OB,adservice,cpu,4,45,1782,0.9,28.39,emailservice_cpu,emailservice_cpu|frontend_cpu|productcatalogservice_cpu,adservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22
RE1-OB,adservice,cpu,5,47,1955,0.9043,25.31,currencyservice_cpu,currencyservice_cpu|frontend_cpu|shippingservice_cpu,adservice,cpu,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5
RE1-OB,adservice,delay,1,46,1871,0.9039,18.96,frontend-external_error,frontend-external_error|currencyservice_cpu|emailservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,23
RE1-OB,adservice,delay,2,45,1809,0.9136,18.98,paymentservice_cpu,paymentservice_cpu|emailservice_cpu|adservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,24
RE1-OB,adservice,delay,3,46,1907,0.9213,22.59,paymentservice_cpu,paymentservice_cpu|cartservice_cpu|currencyservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,26
RE1-OB,adservice,delay,4,45,1798,0.9081,40.3,paymentservice_cpu,paymentservice_cpu|adservice_cpu|shippingservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,26
RE1-OB,adservice,delay,5,46,1889,0.9126,48.62,paymentservice_cpu,paymentservice_cpu|main_cpu|recommendationservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,23
RE1-OB,adservice,disk,1,45,1782,0.9,43.35,paymentservice_cpu,paymentservice_cpu|shippingservice_cpu|checkoutservice_mem,adservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,46
RE1-OB,adservice,disk,2,45,1786,0.902,54.71,checkoutservice_cpu,checkoutservice_cpu|emailservice_cpu|paymentservice_cpu,adservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,46
RE1-OB,adservice,disk,3,45,1769,0.8934,113.64,frontend_cpu,frontend_cpu|redis_cpu|recommendationservice_mem,adservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,46
RE1-OB,adservice,disk,4,45,1797,0.9076,53.94,checkoutservice_cpu,checkoutservice_cpu|main_cpu|redis_cpu,adservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,46
RE1-OB,adservice,disk,5,45,1769,0.8934,51.42,checkoutservice_cpu,checkoutservice_cpu|currencyservice_cpu|paymentservice_cpu,adservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,46
RE1-OB,adservice,loss,1,45,1814,0.9162,56.97,paymentservice_cpu,paymentservice_cpu|adservice_cpu|recommendationservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,22
RE1-OB,adservice,loss,2,47,1976,0.914,761.3,frontend_cpu,frontend_cpu|productcatalogservice_cpu|recommendationservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,23
RE1-OB,adservice,loss,3,45,1818,0.9182,18.51,redis_cpu,redis_cpu|shippingservice_cpu|paymentservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,24
RE1-OB,adservice,loss,4,45,1864,0.9414,23.45,cartservice_cpu,cartservice_cpu|currencyservice_cpu|emailservice_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,22
RE1-OB,adservice,loss,5,45,1798,0.9081,122.89,cartservice_cpu,cartservice_cpu|checkoutservice_cpu|frontend_cpu,adservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20
RE1-OB,adservice,mem,1,46,1883,0.9097,29.5,emailservice_latency,emailservice_latency|cartservice_cpu|emailservice_cpu,adservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12
RE1-OB,adservice,mem,2,47,1938,0.8964,25.86,emailservice_latency,emailservice_latency|frontend_cpu|redis_cpu,adservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,29
RE1-OB,adservice,mem,3,46,1875,0.9058,440.5,emailservice_latency,emailservice_latency|frontend-external_error|shippingservice_mem,adservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25
RE1-OB,adservice,mem,4,46,1856,0.8966,34.94,emailservice_cpu,emailservice_cpu|frontend_cpu|paymentservice_mem,adservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21
RE1-OB,adservice,mem,5,46,1863,0.9,27.59,cartservice_cpu,cartservice_cpu|checkoutservice_cpu|recommendationservice_cpu,adservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,27
RE1-OB,cartservice,cpu,1,46,1864,0.9005,28.57,emailservice_latency,emailservice_latency|cartservice_cpu|checkoutservice_cpu,cartservice,cpu,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,2
RE1-OB,cartservice,cpu,2,46,1861,0.899,30.03,emailservice_latency,emailservice_latency|currencyservice_cpu|emailservice_cpu,cartservice,cpu,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,18
RE1-OB,cartservice,cpu,3,46,1844,0.8908,29.24,productcatalogservice_cpu,productcatalogservice_cpu|recommendationservice_cpu|adservice_cpu,cartservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15
RE1-OB,cartservice,cpu,4,47,1961,0.907,31.56,emailservice_latency,emailservice_latency|frontend_error|recommendationservice_cpu,cartservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16
RE1-OB,cartservice,cpu,5,46,1841,0.8894,626.98,paymentservice_cpu,paymentservice_cpu|redis_cpu|checkoutservice_mem,cartservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13
RE1-OB,cartservice,delay,1,46,1893,0.9145,26.72,checkoutservice_cpu,checkoutservice_cpu|emailservice_cpu|recommendationservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,26
RE1-OB,cartservice,delay,2,45,1799,0.9086,15.8,checkoutservice_cpu,checkoutservice_cpu|productcatalogservice_cpu|recommendationservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,31
